#{"t_start": 1733861681.073132, "env_id": "InvertedPendulum-v4"}
r,l,t
1000.0,1000,9250.606264
1000.0,1000,9274.569882
1000.0,1000,9294.495593
1000.0,1000,9315.938291
1000.0,1000,9339.578815
1000.0,1000,9358.613472
1000.0,1000,9386.918257
1000.0,1000,9412.336046
1000.0,1000,9436.087873
1000.0,1000,9460.658078
1000.0,1000,9480.398277
1000.0,1000,9498.825526
1000.0,1000,9516.685466
1000.0,1000,9534.373209
751.0,751,9547.835803
1000.0,1000,9566.154357
1000.0,1000,9583.827236
76.0,76,9585.164117
152.0,152,9587.834232
1000.0,1000,9605.38023
1000.0,1000,9623.275986
1000.0,1000,9641.198765
496.0,496,9652.322134
1000.0,1000,9676.887573
1000.0,1000,9700.63391
1000.0,1000,9721.897561
1000.0,1000,9743.383366
1000.0,1000,9763.711645
1000.0,1000,9788.368401
1000.0,1000,9821.534004
1000.0,1000,9850.997101
1000.0,1000,9871.472451
1000.0,1000,9897.461844
1000.0,1000,9921.537915
1000.0,1000,9945.376786
1000.0,1000,9964.431703
1000.0,1000,9985.875399
1000.0,1000,10009.634306
1000.0,1000,10030.254101
119.0,119,10032.549558
1000.0,1000,10050.158591
1000.0,1000,10067.80507
1000.0,1000,10085.375585
1000.0,1000,10103.36405
1000.0,1000,10120.763377
1000.0,1000,10148.003333
1000.0,1000,10166.486216
1000.0,1000,10183.93796
1000.0,1000,10201.459307
1000.0,1000,10219.267169
1000.0,1000,10236.778655
1000.0,1000,10254.139771
1000.0,1000,10272.221463
1000.0,1000,10289.731286
1000.0,1000,10307.000217
1000.0,1000,10324.381943
1000.0,1000,10346.23484
1000.0,1000,10363.676182
1000.0,1000,10381.630078
1000.0,1000,10399.558079
1000.0,1000,10416.914662
1000.0,1000,10434.360441
1000.0,1000,10451.657724
1000.0,1000,10469.325443
1000.0,1000,10486.512053
1000.0,1000,10503.784184
1000.0,1000,10521.271129
1000.0,1000,10538.647484
1000.0,1000,10555.844499
1000.0,1000,10573.665504
1000.0,1000,10591.00133
1000.0,1000,10608.26505
344.0,344,10614.25011
233.0,233,10618.301599
202.0,202,10621.788199
244.0,244,10625.93641
309.0,309,10631.261678
1000.0,1000,10648.692627
1000.0,1000,10666.024637
1000.0,1000,10683.311086
1000.0,1000,10700.696951
1000.0,1000,10717.90495
1000.0,1000,10735.668701
1000.0,1000,10753.013512
1000.0,1000,10770.318226
1000.0,1000,10787.562824
1000.0,1000,10804.80705
1000.0,1000,10822.254494
1000.0,1000,10839.479007
1000.0,1000,10856.625718
1000.0,1000,10873.81164
1000.0,1000,10891.231303
1000.0,1000,10908.482305
1000.0,1000,10925.606824
1000.0,1000,10942.834098
1000.0,1000,10960.277615
1000.0,1000,10977.43947
1000.0,1000,10994.851554
1000.0,1000,11012.15734
1000.0,1000,11029.461715
1000.0,1000,11046.844943
1000.0,1000,11064.631115
1000.0,1000,11081.784245
1000.0,1000,11098.932962
1000.0,1000,11116.151652
1000.0,1000,11133.443192
1000.0,1000,11150.511905
1000.0,1000,11167.701594
1000.0,1000,11185.426292
1000.0,1000,11202.652858
1000.0,1000,11219.897403
1000.0,1000,11236.984469
1000.0,1000,11254.267176
1000.0,1000,11271.459129
1000.0,1000,11288.58593
1000.0,1000,11305.984423
